,Unnamed: 0,店铺名称,用户名,评论
60959,90,韩国小胖料理自助烤肉,ArielZZZZRRRR,很好
60960,91,韩国小胖料理自助烤肉,青木原99,很棒！！！很喜欢这家的泡菜哈哈哈哈哈
60961,92,韩国小胖料理自助烤肉,wggssgjk,烤肉必选这家，而且吃了身上也不会有油烟味。 现在多了种新桌子可以煮拉面
60962,93,韩国小胖料理自助烤肉,npm479480033,这次就餐整体感觉很赞，比较满意的方面有：口味、环境、性价比、团购接待、服务。
60963,94,韩国小胖料理自助烤肉,追风筝的……,一般，肉是冻肉，而且吃多了不舒服
60964,95,韩国小胖料理自助烤肉,匿名用户,"服务员态度超级不好不好不好！！！！！要不是是能一星 我真的想一颗星都不给 一直都喜欢和同学们来小胖家吃烤肉 服务员的态度决定了我以后再也不来了
顾客吃饭是欠了你几百万吗？让加个菜直接把盆扔到桌子上 我是昨天去吃的 就是为了给个差评特意美团下单！我们6个人去吃 那个阿姨表情感觉是我们欠了她钱似的 我们翻了一下烤肉就很凶的给我们说不要动 我当时吃的都想拍桌子走人！给我们拿的五花肉全都是肥肉 一条一条得都不完整 感觉就像要扔点的 也不问我们直接就烤菜 完全按着自己的思想来 也不知道顾客坐在那里是干什么的 看你们家服务员发脾气的吗？
很巧的就是今天我室友也去了小胖家准备吃烤肉！回来抱怨阿姨根本不理人 问她有没有位子 等位需要多久都不理人 
说白了吃饭吃的就是个服务 服务都没有味道还有什么重要的！差评差评差评
对于服务员这个态度 我能写出一千字小文章 这辈子都不愿意去 我花钱吃饭的 不是去受气的！"
60965,96,韩国小胖料理自助烤肉,AKy174229254,好久没有吃韩国小胖了，疫情期间在家里就一直想吃只是附近没有，所以到学校和同学一起来吃，味道和以前差不多，都是实实在在的肉，阿姨们也很好，会帮我们烤肉并且很热情，特别是那个个子稍微有点矮的阿姨，全程帮我们弄菜，希望你们的生意越来越好！
60966,97,韩国小胖料理自助烤肉,羊羔。27,好吃😋太喜欢他们家店了，适合学生党，贴心服务，还帮忙烤肉！他家的蘸料也非常好吃😋菜不够可以加哟～
60967,98,韩国小胖料理自助烤肉,diw500855570,这家店是我在温江吃过的最好吃的烤肉店，而且服务也好。￼店里的奶奶和爷爷都是非常热情的人，而且感觉非常有那种家的温暖。大家想来吃烤肉的可以选择这家烤肉是真的不错。那天我和室友年中午饭都没吃就跑来吃，这家烤肉真的特别好吃。就在交院下边一点。￼￼￼￼￼成中医斜对面￼
60968,99,韩国小胖料理自助烤肉,EuF480979748,烤肉是真的有很多肉，但是蔬菜比较少
60969,100,韩国小胖料理自助烤肉,wSH934020114,很好吃。下次还会再来
60970,101,韩国小胖料理自助烤肉,Wamgxue1996,味道不错，来这边找人的，随便在网上搜的，店面不大，来的时间正好，差点就要排队了，服务员嬢嬢非常热情，推荐，不过两个人感觉吃不了多少，嘻嘻嘻 下次再来想试试点菜
