,Unnamed: 0,店铺名称,用户名,评论
61537,84,韩婆婆小院烧烤,vak806300829,菜品挺多的，而且很新鲜，那个奶茶好好喝哈哈，而且是自助，挺划算的，感觉是那周边最好吃的一家店了
61538,85,韩婆婆小院烧烤,三金金同学,差评差评差评，今天去现场买票吃的，没有团购，现在想想应该团购的，可以评价，但是这次非常想评价，就点了以前的购买记录，今天到场后，安排到28号桌，开烤没有两分钟就闻到有煤气泄露的味道，闻起头发晕，我朋友没有闻到，我就没有说什么，后来一起吃饭的朋友也闻到了，我们就咨询服务阿姨能不能换位置，阿姨让我们将就，说多烤一会就适应了，我当时就执意让阿姨给我们换位置，阿姨虽然给我们换了但是在隔壁就摔杯摔碗的收拾，服务体验极差，说一句不好听的，我今天如果在这次吃饭煤气中毒还不是要餐厅负责，换一下位置大家都平安不好吗？
61539,86,韩婆婆小院烧烤,Jvr314163389,总体种类比较丰富，但是肉菜和调料太咸了
61540,87,韩婆婆小院烧烤,王保长2,【口味菜品新鲜！菜品多！好吃！
61541,88,韩婆婆小院烧烤,iiz849620282,可以
61542,89,韩婆婆小院烧烤,sTz151664517,菜品新鲜，特别是坨坨牛肉和五花肉，味道好极了。
61543,90,韩婆婆小院烧烤,JjW542124636,差评，没有以前好吃了……菜品也没有以前多了
61544,91,韩婆婆小院烧烤,Justin19666,中午饭点过后去的，菜品还是比较丰富，后面也陆续补齐了菜品
61545,92,韩婆婆小院烧烤,匿名用户,人太多，服务员太少，根本就是一团糟。
61546,93,韩婆婆小院烧烤,OUQ673674284,这里的牛肉很新鲜，已经来吃两次了，也是同学推荐来的！
61547,94,韩婆婆小院烧烤,WYN913978758,生意很好，菜品还行，每次来人都很多
61548,95,韩婆婆小院烧烤,Zzzzzziiiiiiii,一般吧，中午去的人比晚上少很多
61549,96,韩婆婆小院烧烤,bcn457137944,这家店特别好吃，去吃过好多次了，还带老爸老妈去吃过，特别好吃
61550,97,韩婆婆小院烧烤,sevenqinqin,「#套餐：特色烤肉自助1位」 味道很不错，菜品很丰富，生意很火爆
61551,98,韩婆婆小院烧烤,liguaiguai,不错，吃了好几次了，有新菜品！
61552,99,韩婆婆小院烧烤,liguaiguai,吃了好几次了！又增加了一些新菜品！
61553,100,韩婆婆小院烧烤,匿名用户,挺好吃的，而且那种小院的感觉挺好的，每次都是和朋友们一起过去吃的，有的时候是聚餐，有的时候是庆祝朋友过生，菜品真的挺丰富的，而且看起来还是比较卫生的（比那些看起来就很不卫生的好太多了），人多的时候，上菜也快，味道也可以，总而言之，推荐。
61554,101,韩婆婆小院烧烤,Vri717391991,菜品不错，味道好，????
61555,102,韩婆婆小院烧烤,jh。惠,菜品比以前更丰富了，味道还是不错的。要是有小朋友玩的地方就好了，比如有个滑滑梯之类的，这样就不用一直跟到娃跑了
61556,103,韩婆婆小院烧烤,容猪猪,菜品没以前那么多，不是很新鲜了，价格还比以前高了，环境一般般！
61557,104,韩婆婆小院烧烤,TfE226561097,味道巴适，经常去他们家吃，菜品也很新鲜
61558,105,韩婆婆小院烧烤,今天你瘦了嗎i,「#秘制脑花」
61559,106,韩婆婆小院烧烤,鸽物艾,在这家吃了很多次了因为学校在附近所有决定这是附近最好的一家烤肉自助了
61560,107,韩婆婆小院烧烤,jkw482701931,不错不错
61561,108,韩婆婆小院烧烤,UWj78513130,菜品新鲜 服务也不错呢 下次还选这家
61562,109,韩婆婆小院烧烤,zxx201166,味道可以，菜品丰富，服务员态度也多好的
61563,110,韩婆婆小院烧烤,匿名用户,这个都说老光顾的一家店了，味道好，价格不错，而且菜品类很丰盛，新鲜，分量也是吃多少可以拿多少，值得推荐哟，
61564,111,韩婆婆小院烧烤,IIg315188256,很不戳，吃了几次了，阿姨的态度的好好，经常帮忙，就是提一个小意见，那个吸烟的装置没有开，但是又不能调高一点，灯下黑那部分经常看不到呢~
61565,112,韩婆婆小院烧烤,鸽物艾,去了很多次，没有一次失望，人爆满
61566,113,韩婆婆小院烧烤,扁担倒了,首先环境很好，很大的一个院坝，对于烤肉店来说空气流通很重要！菜品还是挺丰富的，也比较新鲜，服务也比较满意，下次吃烤肉还会来
61567,114,韩婆婆小院烧烤,人卍生,菜品质量较差，品种过于单一，而且酒杯好多还有缺口。
61568,115,韩婆婆小院烧烤,匿名用户,菜色很新鲜，而且环境也很不错，服务人员态度也非常的好店面位置也很明显，进去后人很多在等到的时候服务人员会把电视打开共消遣，去过一次都打算在去第二次，贴心的服务人员会帮助你烤，你不用担心自己会烤糊，总得来说是非常的好，来了就知道了
61569,116,韩婆婆小院烧烤,NYu800350560,牛肉粒超赞，脑花也是我的最爱，菜品种类也挺多的，主要是看着很新鲜。
61570,117,韩婆婆小院烧烤,tvH944628573,挺不错的
