,Unnamed: 0,店铺名称,用户名,评论
15574,114,大美蓉城自助火锅烤肉（温江店）,匿名用户,就是吃完拉肚子，性价比来说反正一般般
15575,115,大美蓉城自助火锅烤肉（温江店）,南西zd,寝室聚餐来吃的，大美蓉城来过好多次了，到现在人均涨了接近10块吧，菜品挺多的，小吃饮料也不错，就是我们那次没牛蛙了，超想吃的
15576,116,大美蓉城自助火锅烤肉（温江店）,Jmu226624706,环境好，味道好，价格便宜，服务到位
15577,117,大美蓉城自助火锅烤肉（温江店）,你的谭sir,服务员说话欠揍，才来1个小时就催人走。说话态度极其恶劣，太欠抽。味道在好，服务就是那么差。就是喜欢说。我来了几十次。都是这种被服务员说走的，就是想早点下班。就赶走顾客。其他没什么
15578,118,大美蓉城自助火锅烤肉（温江店）,肥宅二橘,真的不想说了，菜品不新鲜，肉冻到粘盘子上起冰，应该是已经放冰箱很久了，上的锅底，我们没拿鱼，却在锅里挑到了好几根鱼刺，而且菜品也不算多，听朋友说以前经常来这家店被推荐才来的，以后都不会来这家店了，吃了回去就拉肚子了
15579,119,大美蓉城自助火锅烤肉（温江店）,Sow430161787,菜品贼少，我所吃过的自助火锅店里菜品最少的一家。
15580,120,大美蓉城自助火锅烤肉（温江店）,卡其姑娘_,还可以。。。。。。就是光线暗了点
15581,121,大美蓉城自助火锅烤肉（温江店）,匿名用户,菜都还不错，就是那里的白酒味道不怎么样
15582,122,大美蓉城自助火锅烤肉（温江店）,qfD942475480,美团上看的价格只有43块多，到店他还要补收你的油碟啊，锅底啊这些费用。收下来的价格你不如选择一个更好的。其次，肉类菜品是真的差，感觉像是冻坏了样颜色也不新鲜。我感觉不值这个价钱。
15583,123,大美蓉城自助火锅烤肉（温江店）,匿名用户,"最好的评价这家店就是：除了火锅都还不错。火锅的很多肉都不新鲜，那个火有一点大一直铺出来，除了火锅以外的其他小吃炒饭都挺好吃的，晚上没有什么吃。最不好的感受就是：服务态度极差，问一下特别不耐烦甚至有人还会说上两句，另外除了每天点单以外她还要另收锅底费和沾水费，第一次见另收费的，要不是我们两个人吃，一个人的人均就高了，但是火锅真的不好吃，菜品不太新鲜，服务态度很差，不会去第二次，难怪去的人很少。

【口味】
【服务】"
15584,124,大美蓉城自助火锅烤肉（温江店）,丹丹小仙女0,去了两次了 菜品丰富 小吃也多 就锅底感觉是重复使用的
15585,125,大美蓉城自助火锅烤肉（温江店）,二院逗逼,挺不错的
15586,126,大美蓉城自助火锅烤肉（温江店）,丹丹小仙女0,第二次来了 晚上菜品会多一点 服务热情 收盘子很快
15587,127,大美蓉城自助火锅烤肉（温江店）,JDf322911280,这是有史以来吃的最差的自助餐，太low了，第一调料区，一点都不齐全，少之又少，第二菜品，少的很，比如说，肥牛，等很久很久，鸭肠也不干净，还有头发，好恶心，第三小吃，真的太少太少了，就只有几个，看见蒸笼里面的糕点，更本不能吃，应该是中午吃剩的，馒头好硬，一点都不新鲜，配上几张感觉不错的照片，差评，建议不要去了，简直坑死了
15588,128,大美蓉城自助火锅烤肉（温江店）,当来,挺好的
15589,129,大美蓉城自助火锅烤肉（温江店）,当来,挺好
15590,130,大美蓉城自助火锅烤肉（温江店）,叨峯戰仕,牛肉很嫩，菜品和饮料种类都比较多，性价比还是可以！
15591,131,大美蓉城自助火锅烤肉（温江店）,匿名用户,菜不新鲜，底料不是新 的 【服务】 【环境】
15592,132,大美蓉城自助火锅烤肉（温江店）,Axv920732020,还是很舒服，味道也很好，推荐啦
15593,133,大美蓉城自助火锅烤肉（温江店）,匿名用户,肥牛不是很好 菜品很多 甜品，水果有点少 服务很好 #牛羊肉#
15594,134,大美蓉城自助火锅烤肉（温江店）,暮岁十六,还行吧，，，，，，，，，但是吃了以后，会拉肚子。。。。。
15595,135,大美蓉城自助火锅烤肉（温江店）,Leb527419818,自助的菜品我理想的不是很多。。。。。。。。。。。。，，。。。。。。。。。。。。
15596,136,大美蓉城自助火锅烤肉（温江店）,Nzd540225971,点了个红锅，越煮越辣，吃不了多少就下桌了
15597,137,大美蓉城自助火锅烤肉（温江店）,匿名用户,感觉前台的态度不是很好，一直黑脸
15598,138,大美蓉城自助火锅烤肉（温江店）,Nzd540225971,不知道里面放的什么，呛人的很。
15599,139,大美蓉城自助火锅烤肉（温江店）,ezY554470489,好吃。很棒，除了排队要等很久有点烦之外，其他都很好
15600,140,大美蓉城自助火锅烤肉（温江店）,kkj187492592,还可以吧，小点心很好吃，汤锅emmmm
15601,141,大美蓉城自助火锅烤肉（温江店）,FaL282138715,感觉菜品不够新鲜，不喜欢，而且品种也比较少
15602,142,大美蓉城自助火锅烤肉（温江店）,hra987512987,有点贵！！！！！！！，其他都还好
15603,143,大美蓉城自助火锅烤肉（温江店）,jackiebao987,和同事一起来聚一下，味道不错，地方也宽敞。来好多次了，今天是第一次写评语
15604,144,大美蓉城自助火锅烤肉（温江店）,匿名用户,味道不错，场地也比较大，环境也不错
15605,145,大美蓉城自助火锅烤肉（温江店）,zyh777954592,服务态度很好，两个人去的，小盘的菜太多，一盘吃不完，给服务员说了，自己装菜拼盘的，只是荤菜的种类太少了，可能是自己挑食好多菜都不吃，饮品挺多的。下次再去。
15606,146,大美蓉城自助火锅烤肉（温江店）,eEr406077331,菜品还是挺丰富的  味道也还可以  来过很多次了
15607,147,大美蓉城自助火锅烤肉（温江店）,efb675924108,还不错，环境好，空间大，希望下次光顾
