,Unnamed: 0,店铺名称,用户名,评论
78,78,芭夯兔（温江店）,齐齐199112,还不错，一家老小都能吃，汤很鲜，兔子肉特别嫩滑，点的套餐，有很多菜，还有牛肉，千层肚，肉卷，素菜娃娃菜，莴笋，金针菇，鸡腿菇，杏鲍菇，面条很劲道，还有麻辣兔头，麻辣兔肉，红糖糍粑，凉拌笋子，香肠拼盘……还是不错的，值得推荐
79,79,芭夯兔（温江店）,SWG331176054,已经来吃过好几次了，味道不错，份量也多，三人完全够吃，物美价廉。
80,80,芭夯兔（温江店）,DYF51611,上次开车走错路了，肚子饿了，顺便吃一下，感觉还不错，比起一起精心策划的食物还有巴适，主要是汤也好喝，第一次吃，大家可以试试
81,81,芭夯兔（温江店）,dTf443582557,味道不错，兔肉细滑，菜品丰富，鸭头真心好吃
82,82,芭夯兔（温江店）,UMP901237065,三刷了，很不错，适合娃儿，实惠！
83,83,芭夯兔（温江店）,清的佳佳妹,一如既往的好，这家店是我从高中开始吃起的，哈哈哈不小心暴露了自己的年龄，不过真的超级好吃，味道越来越好，很鲜！我是秒杀的套餐，两个人加一个小孩还没有吃完，分量很足、菜品新鲜！小朋友超喜欢，一碗饭一下就干完了！
84,84,芭夯兔（温江店）,SWG331176054,小兔兔好可爱了，大家都在欣赏，不忍心下口。
85,85,芭夯兔（温江店）,LALLBONG,服务很好！但是味道不如以前的芭夯兔了！
86,86,芭夯兔（温江店）,bOi610595816,很满意的一次就餐体验，整体评价的话我觉得：环境、性价比。
87,87,芭夯兔（温江店）,KwK943748785,「#套餐：温馨尝鲜双人餐」「#菌汤兔肉锅」「#情侣锅」「#麻辣兔头」「#红糖糍粑」「#手工南瓜饼」 【服务】服务很好，服务员热情 【环境】大厅较大，带小孩也方便就餐 【口味】汤鲜味美，分量足，三个人吃情侣锅就只点了一两个菜，家里老人特别爱喝这个菌汤
88,88,芭夯兔（温江店）,飘飘柳霞霞,生意好好！，菜品不错，两个人吃的很饱！味道很好，服务也不错！
89,89,芭夯兔（温江店）,光屁股骑摩托,东西是真的多。两个人绝对够吃。服务的孃孃些，态度也很棒
90,90,芭夯兔（温江店）,桀骜霖儿,还不错，服务挺好的，味道也不错
91,91,芭夯兔（温江店）,LxS930130546,菜品新鲜，环境舒适，服务态度很好，值得推荐
92,92,芭夯兔（温江店）,燕子4159,服务态度很好，味道也巴适，带娃儿和妈妈来吃的，吃来胀的饱饱的，兔?兔布丁很可爱
93,93,芭夯兔（温江店）,pei216264051,不知道是第几次过来打卡.一如既往的好！环境.服务.味道.没有什么可以挑剔的「#套餐：温馨尝鲜双人餐」
94,94,芭夯兔（温江店）,rCb615628702,口味稳定，很多年味道没有变过。
95,95,芭夯兔（温江店）,DgD819267081,吃了很多次，味道一样的好，服务也很不错，值得推荐。
96,96,芭夯兔（温江店）,UMP901237065,第二次来了，非常不错，小朋友吃了很多圆子和兔肉，下次还会再来的
97,97,芭夯兔（温江店）,匿名用户,汤很鲜美，兔肉也超级多，五个女生吃还有点多，服务也很周到，还送了小点心
98,98,芭夯兔（温江店）,匿名用户,此次用餐总体来说不错，觉得比较认可的地方有：服务好很到位、环境干净、口味老少皆宜口感好、性价比很高、团购接待同等对待。
99,99,芭夯兔（温江店）,匿名用户,陪父母来吃 很适合老年人的口味 汤味清淡 兔肉嫩滑 老板态度好 推荐哈
100,100,芭夯兔（温江店）,kRC407067713,这次就餐整体感觉很赞，比较满意的方面有：性价比、服务、环境、口味。这次就餐整体感觉很赞，比较满意的方面有：性价比、服务、环境、口味。这次就餐整体感觉很赞，比较满意的方面有：性价比、服务、环境、口味。这次就餐整体感觉很赞，比较满意的方面有：性价比、服务、环境、口味。
101,101,芭夯兔（温江店）,OpX196917003,整体都不错，很实惠，菜品也新鲜
102,102,芭夯兔（温江店）,yML462926052,环境很好，干净整洁，很舒服，听说是美团团的，服务员大姐完全没有不一样的态度，还是很热情的接待，服务周到，让人很舒服。还会继续消费，当然，味道是很适合老年人清淡的口味的。
103,103,芭夯兔（温江店）,Gby22667600,团的两人餐，很多，味道很好，两个人都吃不完。清汤的，但是兔肉却没有腥味，值得五星
104,104,芭夯兔（温江店）,ZRj663427415,长期吃，不过好像没有78的了，这套餐太划算了，三个人吃撑
105,105,芭夯兔（温江店）,阿韬310,带老婆和她闺蜜去吃兔肉，顺手点了两个布丁，好可爱的兔兔，都舍不得吃的感觉
106,106,芭夯兔（温江店）,阿韬310,吃过若干次了，味道还是一如既往的好，关键这次服务太好的，硬是串串香的价格吃出了海底捞的服务
107,107,芭夯兔（温江店）,匿名用户,两个人中午去吃的，以为不够结果吃来撑，最后没吃完打包了，服务态度很好
108,108,芭夯兔（温江店）,龚丽萍6010,很多年了 味道不错 ，很喜欢，老少皆宜，
109,109,芭夯兔（温江店）,香蜜成成,兔肉又滑又嫩口感极好。鸭头也不奈，红糖糍粑里嫩外酥，花生汁里面应该有核桃一起榨得好喝，上菜特别快，8点多去的没有排队，上菜得阿姨叔叔问特别客气，最后没吃完，通知了打包，完美。下次还会光顾，难得用心评论
110,110,芭夯兔（温江店）,nwm256469607,味道不错，很好吃，尤其适合娃娃的口味，大赞
